,0
0,massachusetts
1,south carolina
2,colorado
3,oklahoma
4,arizona
5,maine
6,utah
7,oregon
8,new hampshire
9,virginia
10,west virginia
11,connecticut
12,new jersey
13,indiana
14,illinois
15,vermont
16,north carolina
17,michigan
18,wisconsin
19,montana
20,pennsylvania
21,tennessee
22,maryland
23,missouri
24,hawaii
25,rhode island
26,kentucky
